TIPO DE SUCURSAL,NOMBRE DEL PRODUCTO,CLAVE DEL PRODUCTO,CATEGORIA (LINEA) DE PRODUCTO,UNIDAD DE MEDIDA (UNIDAD DE VENTA),¿SE VENDE EN EL PUNTO DE VENTA?,CODIGO DE BARRAS,DESCRIPCION LARGA,Peso ,Volumen ,DIAS PARA ENTREGARLO AL CLIENTE,METODO DE ABASTECIMIENTO,Seguimiento (Sin seguimiento/Lote/Serie,FECHA DE CADUCIDAD,DIAS ANTES DE CADUCAR,Días a Consumir preferentemente,Días para quitar el producto,Tipo ,Clave SAT ,Clave unidad SAT,DIAS DE GARANTIA,% COMISION VENDEDOR,% COMISION PARA REFERIDOS,Stock Optimo DE ESTE TIPO DE SUCURSAL,Punto de reorden DE ESTE TIPO DE SUCURSAL,Multiple de re-orden DE ESTE TIPO DE SUCURSAL,Precio del producto en este tipo de surcursal,Unidad de COMPRA,Costo promedio ,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuanto cuesta el producto en puntos?,TASA IVA,TASA IEPS,Almacen donde se ingresa automaticamente,Nombre del laboratorio,Nombre de la sustancia activa,NUMERO DE REGISTRO DE SENASICA,DEPARTAMENTO  ,TIPO DE CONTROL 
,SMALL HEART ALUMINIUM PURPLE,MFB71,MYFAM,Unidades,Si,8055960258451,SMALL HEART ALUMINIUM PURPLE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,39.861,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL HEART ALUMINIUM RED,MFB25,MYFAM,Unidades,Si,8055960251803,SMALL HEART ALUMINIUM RED,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,42.729959,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL HEART CHROME,MFB21,MYFAM,Unidades,Si,8055960251766,SMALL HEART CHROME,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,270.6897,Unidades,69.506667,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL HEART GOLD,MFB22,MYFAM,Unidades,Si,8055960251773,SMALL HEART GOLD,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,312.069,Unidades,96.638,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM BLACK,MFB33,MYFAM,Unidades,Si,8055960254255,SMALL ROUND ALUMINIUM BLACK,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,46.8,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM BLUE,MFB13,MYFAM,Unidades,Si,8055960251681,SMALL ROUND ALUMINIUM BLUE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,41.890584,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM GREEN,MFB39,MYFAM,Unidades,Si,8055960254316,SMALL ROUND ALUMINIUM GREEN,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,41.875382,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM GREY,MFB57,MYFAM,Unidades,Si,8055960258314,SMALL ROUND ALUMINIUM GREY,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,47.386667,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM LIGHTBLUE,MFB55,MYFAM,Unidades,Si,8055960258291,SMALL ROUND ALUMINIUM LIGHTBLUE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,42.038124,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM PINK,MFB14,MYFAM,Unidades,Si,8055960251698,SMALL ROUND ALUMINIUM PINK,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,47.624,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM PURPLE,MFB56,MYFAM,Unidades,Si,8055960258307,SMALL ROUND ALUMINIUM PURPLE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,39.861,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND ALUMINIUM RED,MFB15,MYFAM,Unidades,Si,8055960251704,SMALL ROUND ALUMINIUM RED,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,176.7241,Unidades,39.860779,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND CHROME,MFB11,MYFAM,Unidades,Si,8055960251667,SMALL ROUND CHROME,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,270.6897,Unidades,61.185,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SMALL ROUND GOLD,MFB12,MYFAM,Unidades,Si,8055960251674,SMALL ROUND GOLD,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,312.069,Unidades,80.649,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,SPITZ ITALIANO NEGRO,MF29NBLACK,MYFAM,Unidades,Si,,SPITZ ITALIANO NEGRO,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,ST BERNARD,MF53,MYFAM,Unidades,Si,8055960250851,ST BERNARD,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,120.357,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TABBY EUROPEAN SHORTHAIR,MF37N,MYFAM,Unidades,Si,,TABBY EUROPEAN SHORTHAIR,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TAN AND BLACK PINSCHER,MF26NBLACK,MYFAM,Unidades,Si,,TAN AND BLACK PINSCHER,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TERRIER RUSO NEGRO,MF101,MYFAM,Unidades,Si,,TERRIER RUSO NEGRO,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TIBETAN MASTIFF,MF99,MYFAM,Unidades,Si,,TIBETAN MASTIFF,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TORTOISE,Z030,MYFAM,Unidades,Si,8058773276643,TORTOISE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,138.32,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TRICOLOUR CAVALIER KING,MF22COLORED3,MYFAM,Unidades,Si,,TRICOLOUR CAVALIER KING,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,TRICOLOUR JACK RUSSEL,MF25COLORED,MYFAM,Unidades,Si,,TRICOLOUR JACK RUSSEL,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,VIZSLA,MF72,MYFAM,Unidades,Si,,VIZSLA,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WAXED CORD,WAXEDCORD,MYFAM,Unidades,Si,,WAXED CORD,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,34.4828,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WEIMARANER,MF62,MYFAM,Unidades,Si,,WEIMARANER,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,141.05,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WELSH CORGI,MF66,MYFAM,Unidades,Si,8055960254200,WELSH CORGI,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,120.357,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WEST HIGHLAND WHITE TERRIER,MF55,MYFAM,Unidades,Si,8055960250875,WEST HIGHLAND WHITE TERRIER,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,120.357,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHALE,Z021,MYFAM,Unidades,Si,8058773275332,WHALE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,139.36,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHIPPET,MF59NWHIP,MYFAM,Unidades,Si,,WHIPPET,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE AND BLACK SPRINGER SPANIEL,MF87WHITEBLACK,MYFAM,Unidades,Si,,WHITE AND BLACK SPRINGER SPANIEL,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE AND BROWN BULL TERRIER,MF21NBROWN,MYFAM,Unidades,Si,,WHITE AND BROWN BULL TERRIER,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE AND BROWN JACK RUSSELL,MF25ORANGE,MYFAM,Unidades,Si,,WHITE AND BROWN JACK RUSSELL,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE AND ORANGE HUSKY,MF13WHITEBROWN,MYFAM,Unidades,Si,,WHITE AND ORANGE HUSKY,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE EUROPEAN SHORTHAIR,MF36NWHITE,MYFAM,Unidades,Si,,WHITE EUROPEAN SHORTHAIR,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE ITALIAN SPITZ,MF29NWHITE,MYFAM,Unidades,Si,,WHITE ITALIAN SPITZ,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE PERSIAN,MF38WHITE,MYFAM,Unidades,Si,8055960250622,WHITE PERSIAN,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,140.5275,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE POODLE,MF20NWHITE,MYFAM,Unidades,Si,8055960258550,WHITE POODLE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,130.365667,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,WHITE POODLE,MF20NWHITE4,MYFAM,Unidades,Si,0,WHITE POODLE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,0,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,XL BONE GOLDEN BRASS,MFXL10,MYFAM,Unidades,Si,8058773273864,XL BONE GOLDEN BRASS,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,312.069,Unidades,105.066,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,YELLOW LABRADOR,MF31CREAM,MYFAM,Unidades,Si,8055960250516,YELLOW LABRADOR,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,120.357,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,YORKSHIRE,MF07N,MYFAM,Unidades,Si,8058773270863,YORKSHIRE,0,0,0,lo compramos,Sin seguimiento,No,0,0,0,Almacenable,10111302,H87,0,,,0,,,329.3103,Unidades,126.248375,,,16,16,,MY FAMILY TAGS OF LOVE,,,ACCESORIOS,
,PREMIO DENTAL PARA GATO SALMON,EMEFELDENSALM,NATUR,Unidades,Si,853258004029,PREMIO DENTAL PARA GATO SALMON,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10121804,H87,0,,,0,,,180.172413,Unidades,49.105603,,,16,16,,,,,ALIMENTOS,
,AMO-PET'S NRV Susp. Oral 14 ML,NORAMOX125/14,NORVE,Unidades,Si,,AMO-PET'S NRV Susp. Oral 14 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,93,Unidades,59.589699,,,0,0,,NORVET,,,MEDICAMENTOS,
,AMO-PET'S NRV Susp. Oral 28 ML,NORAMOX125/28,NORVE,Unidades,Si,,AMO-PET'S NRV Susp. Oral 28 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,116,Unidades,97.58994,,,0,0,,NORVET,,,MEDICAMENTOS,
,AMOXI PET'S NRV  125 mg,NORAMOX125,NORVE,Unidades,Si,,AMOXI PET'S NRV  125 mg,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,201,Paquete de 30,122.2,,,0,0,,NORVET,Amoxicilina,Q-7827-056,MEDICAMENTOS,GRUPO 2
,AMOXI PET'S NRV  250 mg,NORAMOX250,NORVE,Unidades,Si,,AMOXI PET'S NRV  250 mg,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,372,Paquete de 30,226.2,,,0,0,,NORVET,Amoxicilina,Q-7827-436,MEDICAMENTOS,GRUPO 2
,APPETIT PET´S,NORAPET,NORVE,Unidades,Si,7502229905409,APPETIT PET´S,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,194,Unidades,121.538824,,,0,0,,NORVET,Ciproheptadina HCL/Vitamina B1/Vitamina B6/Vitamina B12/Arginina/L - Carnitina,Q-7827-373,MEDICAMENTOS,GRUPO 3
,BISMU-JET NRV,NORBIS,NORVE,Unidades,Si,7502229902873,BISMU-JET NRV,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,89,Unidades,53.079243,,,0,0,,NORVET,Subsalicilato de bismuto,Q-7827-044,MEDICAMENTOS,GRUPO 3
,CARPRO PET'S L,NORCARL,NORVE,Unidades,Si,7502229902408,CARPRO PET'S L,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,893,Unidades,447.524583,,,0,0,,NORVET,Carprofeno/Glucosamina/Ginkgo biloba/Ginseng americano/L- carnitina/Selenio,Q-7827- 321,MEDICAMENTOS,GRUPO 3
,CARPRO PET'S M,NORCARM,NORVE,Unidades,Si,7502229902309,CARPRO PET'S M,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,476,Unidades,238.736667,,,0,0,,NORVET,Carprofeno/Glucosamina/Ginkgo biloba/Ginseng americano/L- carnitina/Selenio, Q-7827-320,MEDICAMENTOS,GRUPO 3
,CARPRO PET'S S,NORCARS,NORVE,Unidades,Si,7502229902200,CARPRO PET'S S,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,402,Unidades,211.57,,,0,0,,NORVET,Carprofeno/Glucosamina/Ginkgo biloba/Ginseng americano/L- carnitina/Selenio,Q-7827-319,MEDICAMENTOS,GRUPO 3
,CARTI PET´S  PLUS 10 NRV 30 TAB,NORCARTRIP1030,NORVE,Unidades,Si,7502229907298,CARTI PET´S  PLUS 10 NRV 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,639,Unidades,328.100405,,,0,0,,NORVET,Glucosamina/Condroitin/Acido Hialurónico/Colágeno/Ginkgo Biloba/Ginseng Americano/Meloxicam/Ácidos Grasos/Zinc/Manganeso,Q-7827-316,MEDICAMENTOS,GRUPO 3
,CARTI PET´S 10 NRV 30 TAB,NORCARTRI1030,NORVE,Unidades,Si,,CARTI PET´S 10 NRV 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,490,Unidades,299.843516,,,0,0,,NORVET,"Glucosamina Sulfato/Condroitin Sulfato/Acido Hialurónico/Colágeno/Ginkgo Biloba/Ginseng Americano/Ácidos Grasos/Selenio/Zinc/Manganeso/Cobre/L- Carnitina/L- Metionina/Vitamina A,C,B1,E", Q-7827- 318,MEDICAMENTOS,GRUPO 3
,CARTI PET´S 25 NRV 30 TAB,NORCARTRI2530,NORVE,Unidades,Si,7502229905812,CARTI PET´S 25 NRV 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,862,Unidades,464.882085,,,0,0,,NORVET,"Glucosamina Sulfato/Condroitin Sulfato/Acido Hialurónico/Colágeno/Ginkgo Biloba/Ginseng Americano/Ácidos Grasos/Selenio/Zinc/Manganeso/Cobre/L- Carnitina/L- Metionina/Vitamina A,C,B1,E",Q-7827-315,MEDICAMENTOS,GRUPO 3
,CARTI PET´S C 25,NORCARTIC25,NORVE,Unidades,Si,7502229902606,CARTI PET´S C 25,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,1241,Unidades,674.035848,,,0,0,,NORVET,"Glucosamina/Condroitin/Acido hialurónico/Colágeno/Ginkgo biloba/Ginseng Americano/carprofeno/Acidos grasos/Zinc/Manganeso/Cobre/L- Carnitina/L- Metionina/Vitamina A,C,E,B1",Q-7827- 324,MEDICAMENTOS,GRUPO 3
,CARTI PET´S C10 30 TAB,NORCARTIC10,NORVE,Unidades,Si,7502229902507,CARTI PET´S C10 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,782,Unidades,445.109957,,,0,0,,NORVET,"Glucosamina/Condroitin/Acido hialurónico/Colágeno/Ginkgo biloba/Ginseng Americano/carprofeno/Acidos grasos/Zinc/Manganeso/Cobre/L- Carnitina/L- Metionina/Vitamina A,C,E,B1",Q-7827- 323,MEDICAMENTOS,GRUPO 3
,CARTI PET´S PLUS 25 NRV 30 TAB,NORCARTRIP2530,NORVE,Unidades,Si,7502229907281,CARTI PET´S PLUS 25 NRV 30 TAB,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,1116,Unidades,534.455531,,,0,0,,NORVET,,,MEDICAMENTOS,
,CARTRI-JET NRV 8 ML,NORCARTRI8,NORVE,Unidades,Si,,CARTRI-JET NRV 8 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,2274,Unidades,1082.41175,,,0,0,,NORVET,,,MEDICAMENTOS,
,"CEFA-PET'S  NRV  ""M""  150 mg.",NORCEFP150,NORVE,Unidades,Si,7502229902170,"CEFA-PET'S  NRV  ""M""  150 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,314,Paquete de 30,176.629375,,,0,0,,NORVET,Cefalexina,Q-7827-529,MEDICAMENTOS,GRUPO 2
,"CEFA-PET'S NRV    ""L""  300 mg.",NORCEF300,NORVE,Unidades,Si,7502229902187,"CEFA-PET'S NRV    ""L""  300 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,462,Paquete de 30,259.879375,,,0,0,,NORVET,Cefalexina,Q-7827-530,MEDICAMENTOS,GRUPO 2
,"CEFA-PET'S NRV    ""XL""  500 mg.",NORCEFP500,NORVE,Unidades,Si,7502229905645,"CEFA-PET'S NRV    ""XL""  500 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,454,Paquete de 20,227.005,,,0,0,,NORVET,Cefalexina,Q-7827-531,MEDICAMENTOS,GRUPO 2
,"CEFA-PET'S NRV   ""S""  45 mg.",NORVCEFP45,NORVE,Unidades,Si,7502229902163,"CEFA-PET'S NRV   ""S""  45 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,184,Paquete de 30,92.005,,,0,0,,NORVET,Cefalexina,Q-7827-065,MEDICAMENTOS,GRUPO 2
,CEFTRIA PET´S NRV INY,NORCEFJET50,NORVE,Unidades,Si,,CEFTRIA PET´S NRV 50 MG INYECTABLE,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,124,Unidades,49.95968,,,0,0,,NORVET,Ceftriaxona,Q-7827-284,MEDICAMENTOS,GRUPO 2
,CLINDA - PET'S SUSP. ORAL 25mg/ml.,NORCLINSUSP25,NORVE,Unidades,Si,7502229902354,CLINDA - PET'S SUSP. ORAL 25mg/ml.,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,289,Unidades,165.5624,,,0,0,,NORVET,Clindamicina,Q-7827-485,MEDICAMENTOS,GRUPO 2
,CLINDA- JET 10% ,NORCLI100,NORVE,Unidades,Si,,CLINDA- JET 10% LAB NORVET SOL/INYECTABLE 25ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,245,Unidades,185.251625,,,0,0,,NORVET,Clindamicina,Q-7827-152,MEDICAMENTOS,GRUPO 2
,"CLINDA-PET'S   "" L ""   125 mg.",NORCLIN125,NORVE,Unidades,Si,7502229902330,"CLINDA-PET'S   "" L ""   125 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,478,Paquete de 30,335.093577,,,0,0,,NORVET,Clindamicina, Q -7827-465,MEDICAMENTOS,GRUPO 2
,"CLINDA-PET'S   "" S ""   25 mg.",NORCLIN25,NORVE,Unidades,Si,7502229902316,"CLINDA-PET'S   "" S ""   25 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,166,Paquete de 30,86.58475,,,0,0,,NORVET,Clindamicina,Q -7827-138,MEDICAMENTOS,GRUPO 2
,"CLINDA-PET'S   "" XL ""  200 mg.",NORCLIN200,NORVE,Unidades,Si,7502229902347,"CLINDA-PET'S   "" XL ""  200 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,722,Paquete de 30,390.082041,,,0,0,,NORVET,Clindamicina,Q -7827-466,MEDICAMENTOS,GRUPO 2
,"CLINDA-PET'S  "" M ""   50 mg.",NORCLIN50,NORVE,Unidades,Si,7502229902323,"CLINDA-PET'S  "" M ""   50 mg.",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,270,Paquete de 30,162.126578,,,0,0,,NORVET,Clindamicina,Q-7827-464,MEDICAMENTOS,GRUPO 2
,COMPLET MAX M TABLETAS,NORCOMPLMAXM,NORVE,Unidades,Si,7502229903108,COMPLET MAX M TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51101700,H87,0,,,0,,,744,Paquete de 20,442.170093,,,0,0,,NORVET,Fenbendazol/Pirantel pamoato/Prazicuantel/Toltrazuril, Q-7827-648,MEDICAMENTOS,GRUPO 2
,COMPLET MAX S TABLETAS,NORCOMPLMAXS,NORVE,Unidades,Si,7502229901777,COMPLET MAX S TABLETAS,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51101700,H87,0,,,0,,,446,Paquete de 30,210.233101,,,0,0,,NORVET,Fenbendazol/Pirantel pamoato/Prazicuantel/Toltrazuril,Q-7827-647,MEDICAMENTOS,GRUPO 2
,COMPLET MAX SUSP 120 ML,NORCOMMX,NORVE,Unidades,Si,,COMPLET MAX SUSP 120 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51101700,H87,0,,,0,,,806,Unidades,489.45,,,0,0,,NORVET,Fenbendazol/Pirantel pamoato/Prazicuantel/Toltrazuril,,MEDICAMENTOS,GRUPO 2
,COMPLET MAX SUSPENSION 30 ML,NORCOMPMAX30,NORVE,Unidades,Si,7502229903474,COMPLET MAX SUSPENSION 30 ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,495,Unidades,243.734208,,,0,0,,NORVET,Fenbendazol/Pirantel pamoato/Prazicuantel/Toltrazuril,Q-7827-651,MEDICAMENTOS,GRUPO 2
,COMPLET PLUS GATO SUSP ORAL 30ML,NORCOMPLGATO,NORVE,Unidades,Si,7502229902491,COMPLET PLUS GATO SUSP ORAL 30ML,0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51101700,H87,0,,,0,,,112,Unidades,72.8,,,0,0,,NORVET,Prazicuantel/Pirantel base/Fenbendazol,Q-7827-601,MEDICAMENTOS,GRUPO 2
,"COMPLET PLUS NRV ""L""",NORCOMPLUSL,NORVE,Unidades,Si,7502229902545,"COMPLET PLUS NRV ""L""",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,10111305,H87,0,,,0,,,751,Paquete de 20,354.890126,,,0,0,,NORVET,Febendazol/Pamoato de Pirantel/Prazicuantel, Q-7827-433,MEDICAMENTOS,GRUPO 2
,"COMPLET PLUS NRV ""M""",NORCOMPLUSM,NORVE,Unidades,Si,7502229902538,"COMPLET PLUS NRV ""M""",0,0,0,lo compramos,Serie,Si,30,15,0,Almacenable,51102500,H87,0,,,0,,,579,Paquete de 30,273.497946,,,0,0,,NORVET,Febendazol/Pamoato de Pirantel/Prazicuantel, Q-7827-432,MEDICAMENTOS,GRUPO 2
