Tipo de sucursal,Nombre del Producto,Clave de producto,Categoría ( linea) de producto,Precio Base de Venta,Unidad de medida,¿ Se vende en el punto de venta ( en Caja de mostrador)?,Código de barras,Descripción larga,Peso,Volumen,Días para entregarlo al cliente,método de abastecimiento,Costo promedio de compra en la moneda principal,Si tienen varios almacenes en la empresa: ¿ En qué almacen se guarda el producto?,Seguimiento (Sin seguimiento/Lote/Serie,¿ Tiene fecha de caducidad?,Días antes de caducar,Días a Consumir preferentemente,Días para quitar el producto,Tipo,Stock Optimo,Punto de reorden,Multiple de re-orden,Clave de producto SAT,Claves de Unidad SAT,Días de garantía,% Comisión para vendedor,% Comisión para referidos,¿ Cuántos puntos abonan la compra de este producto/ servicio?,¿ Cuántos puntos cuesta la compra de este producto/ servicio?,Unidad de COMPRA,TIPO DE CONTROL ,Nombre del laboratorio,Nombre de la sustancia activa,TASA IVA,TASA IEPS,NUMERO DE REGISTRO DE SENASICA,PRESENTACION,Factor entre unidades ,DEPARTAMENTO  ,unid conca
,BEBEDERO SMART SIPPER 1.5 lt,MODH140,MOD,204.3103,Unidades,SI ,,BEBEDERO SMART SIPPER 1.5 lt,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,11131600,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COMEDERO SMART SNACKER 1.5 lt,MODH141,MOD,149.1379,Unidades,SI ,9517254325458,COMEDERO SMART SNACKER 1.5 lt,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,11131600,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,BEBEDERO SMART SIPPER 3 lt,MODH150,MOD,325.8621,Unidades,SI ,5412087000425,BEBEDERO SMART SIPPER 3 lt,0,0,0,lo compramos,130.344,,No,No,0,0,0,Almacenable,0,,,11131600,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COMEDERO SMART SNACKER 3 lt,MODH151,MOD,356.8966,Unidades,SI ,4931113567257,COMEDERO SMART SNACKER 3 lt,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,11131600,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE LUXURIUS,MODH165-015,MOD,264.6552,Unidades,SI ,5412087013111,TASTY LARGE LUXURIUS,0,0,0,lo compramos,103.456,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE GREY-WHITE,MODH165-027-CL,MOD,264.6552,Unidades,SI ,5412087012343,TASTY LARGE GREY-WHITE,0,0,0,lo compramos,103.456,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE VIOLET,MODH165-157-FF,MOD,264.6552,Unidades,SI ,5412087012312,TASTY LARGE VIOLET,0,0,0,lo compramos,103.456,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE GREEN,MODH165-173-FF,MOD,264.6552,Unidades,SI ,5412087012329,TASTY LARGE GREEN,0,0,0,lo compramos,103.456,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE FUN BLUE,MODH165-181-FF,MOD,264.6552,Unidades,SI ,5412087012336,TASTY LARGE FUN BLUE,0,0,0,lo compramos,103.456,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE PINK,MODH165-310-WL,MOD,264.6552,Unidades,SI ,5412087013036,TASTY LARGE PINK,0,0,0,lo compramos,68.970667,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY LARGE BEIGE,MODH165-311-WL,MOD,264.6552,Unidades,SI ,5412087013043,TASTY LARGE BEIGE,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TASTY JUMBO,MODH175-310,MOD,422.4138,Unidades,SI ,,TASTY JUMBO,0,0,0,lo compramos,168.968,,No,No,0,0,0,Almacenable,0,,,10111304,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 40 cm,MODH240,MOD,251.7241,Unidades,SI ,,CAMA DOMUS 40 cm,0,0,0,lo compramos,96.336,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 50 cm,MODH250,MOD,358.6207,Unidades,SI ,,CAMA DOMUS 50 cm,0,0,0,lo compramos,131.864,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 60 cm,MODH260,MOD,507.7586,Unidades,SI ,,CAMA DOMUS 60 cm,0,0,0,lo compramos,174.296,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 70 cm,MODH270,MOD,533.6207,Unidades,SI ,,CAMA DOMUS 70 cm,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 80 cm,MODH280,MOD,470.6897,Unidades,SI ,,CAMA DOMUS 80 cm,0,0,0,lo compramos,250.408,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 90 cm,MODH290,MOD,1153.4483,Unidades,SI ,,CAMA DOMUS 90 cm,0,0,0,lo compramos,397.952,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CAMA DOMUS 110 cm,MODH299,MOD,1719.8276,Unidades,SI ,,CAMA DOMUS 110 cm,0,0,0,lo compramos,608.272,,No,No,0,0,0,Almacenable,0,,,10131508,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,HERCULES TRAY 50 CM LUXURIUS,MODK162-015,MOD,306.8966,Unidades,SI ,,HERCULES TRAY 50 CM LUXURIUS,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,HERCULES TRAY 50 CM CATS IN LOVE,MODK162-027,MOD,284.4828,Unidades,SI ,,HERCULES TRAY 50 CM CATS IN LOVE,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,ARENERO CLASSIC TRAY 50CM (HERCULES),MODK1624,MOD,0,Unidades,SI ,5412087010981,ARENERO CLASSIC TRAY 50CM (HERCULES),0,0,0,lo compramos,149.329633,,No,No,0,0,0,Almacenable,0,,,10111300,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,TRANSPOR ROAD RUNNER 1 PUERTA PLASTICO,MODT100,MOD,473.2759,Unidades,SI ,,TRANSPOR ROAD RUNNER 1 PUERTA PLASTICO,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRANSPOR ROAD RUNNER 1 PUERTA METAL,MODT101,MOD,376.7241,Unidades,SI ,,TRANSPOR ROAD RUNNER 1 PUERTA METAL,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRANSPOR ROAD RUNNER 1 PUERTA IATA,MODT103,MOD,590.5172,Unidades,SI ,,TRANSPOR ROAD RUNNER 1 PUERTA IATA,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRENDY CAT RUNNER,MODT150,MOD,628.4483,Unidades,SI ,,TRENDY CAT RUNNER,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRENDY RUNNER 1 PUERTA IATA,MODT153,MOD,724.1379,Unidades,SI ,,TRENDY RUNNER 1 PUERTA IATA,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRENDY RUNNER LUXURIUS,MODT153-015,MOD,793.1034,Unidades,SI ,,TRENDY RUNNER LUXURIUS,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRANSPOR ROAD RUNNER 2 PUERTA METAL,MODT201,MOD,647.4138,Unidades,SI ,,TRANSPOR ROAD RUNNER 2 PUERTA METAL,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRANSPOR ROAD RUNNER 2 PUERTA IATA,MODT203,MOD,721.5517,Unidades,SI ,,TRANSPOR ROAD RUNNER 2 PUERTA IATA,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRANSPOR TOP RUNNER MEDIANA,MODT700,MOD,466.3793,Unidades,SI ,,TRANSPOR TOP RUNNER MEDIANA,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,TRANSPOR TOP RUNNER GRANDE,MODT800,MOD,547.4138,Unidades,SI ,,TRANSPOR TOP RUNNER GRANDE,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131603,H87,0,,,,,Unidades,,MODERNA PRODUCTS,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 16 MM 30 CM,MRC2002016030,MRCAN,163.793103,Unidades,SI ,,COLLAR ESLABON APLANADO 16 MM 30 CM,0,0,0,lo compramos,65.144,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 16 MM 35 CM,MRC2002016035,MRCAN,176.724138,Unidades,SI ,,COLLAR ESLABON APLANADO 16 MM 35 CM,0,0,0,lo compramos,84.152,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 16 MM 40 CM,MRC2002016040,MRCAN,181.034483,Unidades,SI ,,COLLAR ESLABON APLANADO 16 MM 40 CM,0,0,0,lo compramos,89.88,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 16 MM 45 CM,MRC2002016045,MRCAN,193.965517,Unidades,SI ,,COLLAR ESLABON APLANADO 16 MM 45 CM,0,0,0,lo compramos,96.22,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 35 CM,MRC2002020035,MRCAN,185.344828,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 35 CM,0,0,0,lo compramos,68.2275,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 40 CM,MRC2002020040,MRCAN,189.655172,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 40 CM,0,0,0,lo compramos,63.286667,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 45 CM,MRC2002020045,MRCAN,152.586207,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 45 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 50 CM,MRC2002020050,MRCAN,160.344828,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 50 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 55 CM,MRC2002020055,MRCAN,168.103448,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 55 CM,0,0,0,lo compramos,75.8775,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 60 CM,MRC2002020060,MRCAN,232.758621,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 60 CM,0,0,0,lo compramos,115.28,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 20 MM 65 CM,MRC2002020065,MRCAN,241.37931,Unidades,SI ,,COLLAR ESLABON APLANADO 20 MM 65 CM,0,0,0,lo compramos,79.92,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 40 CM,MRC2002025045,MRCAN,0,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 40 CM,0,0,0,lo compramos,95.05,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 50 CM,MRC2002030050,MRCAN,224.137931,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 50 CM,0,0,0,lo compramos,111.55,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 65 CM,MRC2002030065,MRCAN,254.310345,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 65 CM,0,0,0,lo compramos,123.03,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 35 MM 70 CM,MRC2002035070,MRCAN,323.275862,Unidades,SI ,,COLLAR ESLABON APLANADO 35 MM 70 CM,0,0,0,lo compramos,160.34,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,,,16,,,,1,,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 40 CM,MRC2002125040,MRCAN,198.275862,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 40 CM,0,0,0,lo compramos,97.74,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 50 CM,MRC2002125045,MRCAN,206.896552,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 50 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 45 CM,MRC2002125050,MRCAN,206.896552,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 45 CM,0,0,0,lo compramos,102.65,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 55 CM,MRC2002125055,MRCAN,191.37931,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 55 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 60 CM,MRC2002125060,MRCAN,267.241379,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 60 CM,0,0,0,lo compramos,132.16,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 25 MM 65 CM,MRC2002125065,MRCAN,284.482759,Unidades,SI ,,COLLAR ESLABON APLANADO 25 MM 65 CM,0,0,0,lo compramos,136.188,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 40 CM,MRC2002130040,MRCAN,206.896552,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 40 CM,0,0,0,lo compramos,100.624286,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 45 CM,MRC2002130045,MRCAN,215.517241,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 45 CM,0,0,0,lo compramos,106.64,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 50 CM,MRC2002130050,MRCAN,224.137931,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 50 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 55 CM,MRC2002130055,MRCAN,232.758621,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 55 CM,0,0,0,lo compramos,116.35,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 60 CM,MRC2002130060,MRCAN,245.689655,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 60 CM,0,0,0,lo compramos,121.27,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 65 CM,MRC2002130065,MRCAN,254.310345,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 65 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 30 MM 70 CM,MRC2002130070,MRCAN,262.931034,Unidades,SI ,,COLLAR ESLABON APLANADO 30 MM 70 CM,0,0,0,lo compramos,130.25,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 35 MM 50 CM,MRC2002135050,MRCAN,258.62069,Unidades,SI ,,COLLAR ESLABON APLANADO 35 MM 50 CM,0,0,0,lo compramos,129.22,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 35 MM 55 CM,MRC2002135055,MRCAN,275.862069,Unidades,SI ,,COLLAR ESLABON APLANADO 35 MM 55 CM,0,0,0,lo compramos,137.35,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 35 MM 60 CM,MRC2002135060,MRCAN,293.103448,Unidades,SI ,,COLLAR ESLABON APLANADO 35 MM 60 CM,0,0,0,lo compramos,146.2,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 35 MM 65 CM,MRC2002135065,MRCAN,306.034483,Unidades,SI ,,COLLAR ESLABON APLANADO 35 MM 65 CM,0,0,0,lo compramos,152.06,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON APLANADO 35 MM 70 CM,MRC2002135070,MRCAN,323.275862,Unidades,SI ,,COLLAR ESLABON APLANADO 35 MM 70 CM,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR ESLABON ALARGADO 3.0 MM 50 CM,MRC2006030050,MRCAN,198.275862,Unidades,SI ,,COLLAR ESLABON ALARGADO 3.0 MM 50 CM,0,0,0,lo compramos,98,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR DOBLE ESLABON APLANADO 2.5 MM 55,MRC2103325055,MRCAN,366.37931,Unidades,SI ,,COLLAR DOBLE ESLABON APLANADO 2.5 MM 55,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR TRIPLE ESLABON APLANADO 2.0 MM 55,MRC2104320055,MRCAN,576.724138,Unidades,SI ,,COLLAR TRIPLE ESLABON APLANADO 2.0 MM 55,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR TRIPLE ESLABON APLANADO 2.5 MM 50,MRC2104325050,MRCAN,527.586207,Unidades,SI ,,COLLAR TRIPLE ESLABON APLANADO 2.5 MM 50,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR TRIPLE ESLABON APLANADO 2.5 MM 55,MRC2104325055,MRCAN,575.862069,Unidades,SI ,,COLLAR TRIPLE ESLABON APLANADO 2.5 MM 55,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,COLLAR TRIPLE ESLABON APLANADO 2.5 MM 60,MRC2104325060,MRCAN,622.413793,Unidades,SI ,,COLLAR TRIPLE ESLABON APLANADO 2.5 MM 60,0,0,0,lo compramos,0,,No,No,0,0,0,Almacenable,0,,,10131604,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CORTA UÑAS USO RUDO MANGO ROJO 12 CM,MRC7330100001,MRCAN,237.068966,Unidades,SI ,,CORTA UÑAS USO RUDO MANGO ROJO 12 CM,0,0,0,lo compramos,190,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CORTA UÑAS USO RUDO MANGO ROJO 16 CM,MRC7330100002,MRCAN,260.344828,Unidades,SI ,,CORTA UÑAS USO RUDO MANGO ROJO 16 CM,0,0,0,lo compramos,209.45,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ACCESORIOS,Unidades 1.000_Unidades
,CORTA UÑAS CHICO MANGO DE PLASTICO,MRCACORTCH,MRCAN,62.069,Unidades,SI ,4546985267381,CORTA UÑAS CHICO MANGO DE PLASTICO,0,0,0,lo compramos,26.17,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ESTETICA CANINA,Unidades 1.000_Unidades
,CORTA UÑAS MANGO DE GOMA CHICO,MRCACORTGMCH,MRCAN,62.069,Unidades,SI ,,CORTA UÑAS MANGO DE GOMA CHICO,0,0,0,lo compramos,30.1,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ESTETICA CANINA,Unidades 1.000_Unidades
,CORTA UÑAS MANGO DE GOMA GRANDE,MRCACORTGMG,MRCAN,86.2069,Unidades,SI ,,CORTA UÑAS MANGO DE GOMA GRANDE,0,0,0,lo compramos,42.53,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ESTETICA CANINA,Unidades 1.000_Unidades
,CORTA UÑAS GRANDE MANGO DE PLASTICO,MRCACORTGR,MRCAN,86.2069,Unidades,SI ,4546985267367,CORTA UÑAS GRANDE MANGO DE PLASTICO,0,0,0,lo compramos,36.98,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,Unidades,,MR. CAN,,16,,,,1,ESTETICA CANINA,Unidades 1.000_Unidades
,CARDA METALICA PLANA CHICA MR CAN,MRCCARMETCH,MRCAN,0,Unidades,SI ,4546985267343,CARDA METALICA PLANA CHICA MR CAN,0,0,0,lo compramos,23.529347,,No,No,0,0,0,Almacenable,0,,,10111302,H87,0,,,,,pz,,,,16,,,,1,,pz 1.000_Unidades
